fire_year,recovery_years,frp_intensity,burned_area_size,burn_history_years
2002.0,23.0,448.667919921875,501081.54173853307,-1.0
2002.0,23.0,296.7358642578125,501081.54173853307,-1.0
2002.0,21.0,1247.7056640625,501081.54173853307,-1.0
2002.0,21.0,1577.6022460937502,501081.54173853307,-1.0
2002.0,21.0,1627.3460937500001,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,23.0,449.73525390625,501081.54173853307,-1.0
2002.0,21.0,318.3819091796875,501081.54173853307,-1.0
2002.0,21.0,329.735791015625,501081.54173853307,-1.0
2002.0,21.0,250.5047119140625,501081.54173853307,-1.0
2002.0,23.0,406.233544921875,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,21.0,320.726806640625,501081.54173853307,-1.0
2002.0,21.0,320.4141845703125,375811.16421126504,-1.0
2002.0,23.0,25.896099853515626,250540.77086926653,-1.0
2002.0,23.0,186.70731201171876,250540.77086926653,-1.0
2002.0,23.0,213.05214843750002,125270.38543463327,-1.0
2002.0,23.0,213.36337890625,501081.54173853307,-1.0
2002.0,23.0,406.38957519531255,501081.54173853307,-1.0
2002.0,23.0,451.104638671875,501081.54173853307,-1.0
2002.0,23.0,453.45546875,501081.54173853307,-1.0
2002.0,23.0,456.361279296875,501081.54173853307,-1.0
2002.0,23.0,456.8,501081.54173853307,-1.0
2002.0,21.0,71.86582641601562,501081.54173853307,-1.0
2002.0,21.0,71.86582641601562,501081.54173853307,-1.0
2002.0,21.0,30.098333740234377,125270.38543463327,-1.0
2002.0,23.0,0.0,0.0,-1.0
2002.0,23.0,1.045837688446045,501081.54173853307,-1.0
2002.0,23.0,1.2037798881530763,501081.54173853307,-1.0
2002.0,23.0,31.17781677246094,501081.54173853307,-1.0
2002.0,23.0,35.70413818359375,501081.54173853307,-1.0
2002.0,23.0,196.51772460937502,501081.54173853307,-1.0
2002.0,23.0,229.7728271484375,501081.54173853307,-1.0
2002.0,23.0,231.12763671875,501081.54173853307,-1.0
2002.0,23.0,424.156689453125,501081.54173853307,-1.0
2002.0,21.0,127.7615966796875,501081.54173853307,-1.0
2002.0,21.0,133.3018798828125,501081.54173853307,-1.0
2002.0,21.0,69.77877807617188,250540.77086926653,-1.0
2002.0,21.0,58.25844116210938,0.0,-1.0
2002.0,23.0,85.24618530273438,0.0,-1.0
2002.0,23.0,97.18294067382813,501081.54173853307,-1.0
2002.0,23.0,97.18294067382813,501081.54173853307,-1.0
2002.0,23.0,152.14290771484374,501081.54173853307,-1.0
2002.0,21.0,132.32698974609374,501081.54173853307,-1.0
2002.0,21.0,132.665771484375,501081.54173853307,-1.0
2002.0,21.0,132.665771484375,501081.54173853307,-1.0
2002.0,21.0,134.5106201171875,501081.54173853307,-1.0
2002.0,21.0,134.78883056640626,501081.54173853307,-1.0
2002.0,21.0,69.97361450195312,375811.16421126504,-1.0
2002.0,23.0,10.727937316894533,375811.16421126504,-1.0
2002.0,23.0,89.76398925781251,501081.54173853307,-1.0
2002.0,21.0,75.57332153320313,501081.54173853307,-1.0
2002.0,21.0,75.93128051757813,501081.54173853307,-1.0
2002.0,21.0,126.99830322265626,501081.54173853307,-1.0
2002.0,21.0,134.70000000000002,375811.16421126504,-1.0
2002.0,21.0,134.70000000000002,250540.77086926653,-1.0
2002.0,21.0,134.70000000000002,250540.77086926653,-1.0
2002.0,23.0,160.732763671875,501081.54173853307,-1.0
2002.0,23.0,164.40560302734377,501081.54173853307,-1.0
2002.0,23.0,164.9602783203125,501081.54173853307,-1.0
2002.0,21.0,152.0505126953125,501081.54173853307,-1.0
2002.0,21.0,147.16292724609374,501081.54173853307,-1.0
2002.0,21.0,82.89323120117189,501081.54173853307,-1.0
2002.0,21.0,75.57310791015625,125270.38543463327,-1.0
2002.0,23.0,167.9,501081.54173853307,-1.0
2002.0,21.0,496.87138671875005,501081.54173853307,-1.0
2002.0,21.0,228.91777343750002,501081.54173853307,-1.0
2002.0,21.0,187.0377197265625,501081.54173853307,-1.0
2002.0,21.0,186.81715087890626,501081.54173853307,-1.0
2002.0,21.0,152.36011962890626,125270.38543463327,-1.0
2002.0,23.0,51.900000000000006,375811.16421126504,-1.0
2002.0,23.0,82.94999389648439,501081.54173853307,-1.0
2002.0,23.0,92.11392211914062,501081.54173853307,-1.0
2002.0,23.0,92.7896728515625,501081.54173853307,-1.0
2002.0,23.0,92.7896728515625,501081.54173853307,-1.0
2002.0,21.0,243.2506103515625,501081.54173853307,-1.0
2002.0,21.0,202.82719726562502,501081.54173853307,-1.0
2002.0,21.0,202.82719726562502,501081.54173853307,-1.0
2002.0,21.0,202.82719726562502,501081.54173853307,-1.0
2002.0,21.0,190.37784423828126,501081.54173853307,-1.0
2002.0,21.0,188.5,501081.54173853307,-1.0
2002.0,21.0,188.5,501081.54173853307,-1.0
2002.0,21.0,79.99483032226563,250540.77086926653,-1.0
2002.0,21.0,55.586560058593754,501081.54173853307,-1.0
2002.0,21.0,53.3424560546875,501081.54173853307,-1.0
2002.0,23.0,53.560314941406254,501081.54173853307,-1.0
2002.0,23.0,84.6107666015625,501081.54173853307,-1.0
2002.0,23.0,89.30000000000001,501081.54173853307,-1.0
2002.0,21.0,188.969482421875,501081.54173853307,-1.0
2002.0,21.0,456.512158203125,501081.54173853307,-1.0
2002.0,21.0,496.87421875,375811.16421126504,-1.0
2002.0,21.0,228.9208740234375,250540.77086926653,-1.0
2002.0,21.0,188.5,250540.77086926653,-1.0
2002.0,21.0,188.5,125270.38543463327,-1.0
2002.0,21.0,224.4505126953125,0.0,-1.0
2002.0,21.0,100.08461914062501,501081.54173853307,-1.0
2002.0,21.0,80.16620483398438,501081.54173853307,-1.0
2002.0,21.0,79.99496459960938,501081.54173853307,-1.0
2002.0,21.0,61.77081298828125,501081.54173853307,-1.0
2002.0,21.0,75.39053344726562,375811.16421126504,-1.0
2002.0,21.0,77.35263061523438,0.0,-1.0
2002.0,23.0,8.911210632324218,0.0,-1.0
2002.0,23.0,10.257292175292969,250540.77086926653,-1.0
2002.0,21.0,196.34405517578125,501081.54173853307,-1.0
2002.0,21.0,224.451171875,501081.54173853307,-1.0
2002.0,21.0,52.48897705078125,501081.54173853307,-1.0
2002.0,21.0,52.517486572265625,375811.16421126504,-1.0
