Year_-1,Year_0,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21
0.0,7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.7252903e-09,0.0,0.0,3.7252903e-09,0.0,7.450581e-09,7.450581e-09,-7.450581e-09,0.0,0.0,0.0,0.006733313,0.008099981,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881393e-07,1.6391277e-07,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901161e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05216004,0.04760003,
1.4901161e-08,0.0,0.0,0.0,0.0,-1.4901161e-08,0.0,1.4901161e-08,0.0,1.4901161e-08,0.0,-1.4901161e-08,2.9802322e-08,0.0,-1.4901161e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,1.4901161e-08,0.05867985,0.053549856,
-0.0336461,-0.049776852,-0.071307614,-0.07546145,-0.07193068,-0.07823068,-0.07199991,-0.07283068,-0.065353766,-0.06389993,-0.06846914,-0.068399936,-0.0706153,-0.059261456,-0.054346085,-0.061269164,-0.062376842,-0.05960761,-0.0570461,-0.0568384,7.450581e-09,0.0,-0.056215294
-0.021599926,-0.031955466,-0.045777652,-0.04844432,-0.046177655,-0.050222073,-0.046222102,-0.04675543,-0.04195543,-0.041022107,-0.043955434,-0.043910984,-0.045333207,-0.038044333,-0.03488879,-0.03933323,-0.040044345,-0.038266562,-0.03662213,-0.036488786,0.0,0.0,-0.036088787
0.0,7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.7252903e-09,0.0,0.0,3.7252903e-09,0.0,7.450581e-09,7.450581e-09,-7.450581e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252903e-09,3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4901161e-08,-1.4901161e-08,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252903e-09,3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004040003,-0.004860021,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005049959,-0.00607495,0.0
0.0,0.0,-1.8626451e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7252903e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013466656,0.016199976,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01009997,0.012149967,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
